,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
489,avera,75,US,1602430789,88,33.19,-82.53,26.11,5.1
91,verkhoyansk,100,RU,1602430706,88,67.54,133.38,-4.77,0.89
32,ostrovnoy,19,RU,1602430238,88,68.05,39.51,6.9,5.14
429,aasiaat,100,GL,1602430776,88,68.71,-52.87,2.41,6.55
148,georgetown,20,MY,1602430213,88,5.41,100.34,27.0,2.1
7,vyartsilya,100,RU,1602430691,88,62.18,30.69,9.47,3.47
43,hamilton,75,US,1602430646,88,39.18,-84.53,21.11,2.6
335,sobolevo,100,RU,1602430757,88,54.43,31.9,10.71,1.93
487,prince rupert,90,CA,1602430203,87,54.32,-130.32,8.0,4.6
163,coffs harbour,90,AU,1602430720,87,-30.3,153.13,15.0,1.97
328,vardo,75,NO,1602430289,87,70.37,31.11,7.0,7.2
254,portland,90,US,1602430158,87,45.52,-122.68,13.0,4.1
301,grindavik,90,IS,1602430242,87,63.84,-22.43,8.0,2.6
251,vestmannaeyjar,90,IS,1602430323,87,63.44,-20.27,8.0,6.2
207,sorland,90,NO,1602430729,87,67.67,12.69,9.0,10.3
435,srednekolymsk,12,RU,1602430304,87,67.45,153.68,-5.0,1.29
414,laguna,90,US,1602430773,87,38.42,-121.42,16.67,2.1
405,launceston,7,AU,1602430771,87,-41.45,147.17,7.0,2.1
364,haradok,100,BY,1602430763,87,55.46,29.98,13.0,1.0
402,orlik,91,RU,1602430771,87,52.52,99.83,-7.74,2.28
535,agirish,95,RU,1602430798,87,61.92,63.02,8.43,4.66
113,lompoc,90,US,1602430710,87,34.64,-120.46,16.0,2.45
23,nikolskoye,90,RU,1602430268,87,59.7,30.79,13.0,2.0
37,haines junction,100,CA,1602430255,87,60.75,-137.51,1.7,0.37
17,hobart,75,AU,1602430115,87,-42.88,147.33,8.0,2.6
168,wanning,100,CN,1602430721,86,18.8,110.4,25.39,7.26
25,tasiilaq,75,GL,1602430229,86,65.61,-37.64,3.0,8.7
193,ouango,88,CF,1602430726,86,4.31,22.56,25.05,1.22
139,gazimurskiy zavod,6,RU,1602430715,86,51.55,118.33,-4.01,2.27
363,slave lake,90,CA,1602430311,86,55.28,-114.77,4.0,13.4
427,seymchan,84,RU,1602430776,86,62.88,152.43,-4.17,1.23
380,marawi,100,PH,1602430261,86,8.0,124.29,25.0,1.79
219,asau,80,RO,1602430732,86,46.43,26.4,16.11,0.79
41,aklavik,90,CA,1602430227,86,68.22,-135.01,-2.0,8.2
513,evensk,0,RU,1602430794,86,61.95,159.23,-1.74,0.57
454,tabou,44,CI,1602430782,85,4.42,-7.35,26.09,5.71
441,ayagoz,100,KZ,1602430779,85,47.97,80.44,4.33,5.11
403,vanimo,80,PG,1602430771,85,-2.67,141.3,24.69,1.98
394,poya,3,NC,1602430769,85,-21.35,165.15,22.53,1.81
145,jingdezhen,0,CN,1602430716,85,29.29,117.21,17.47,1.35
142,qaanaaq,50,GL,1602430234,85,77.48,-69.36,-0.01,2.94
245,sisimiut,88,GL,1602430737,85,66.94,-53.67,3.65,3.2
339,sembe,76,CG,1602430311,85,1.65,14.58,25.59,0.33
317,fairbanks,1,US,1602430235,85,64.84,-147.72,-2.0,2.58
209,bubaque,25,GW,1602430260,85,11.28,-15.83,27.68,6.85
400,nanortalik,100,GL,1602430272,84,60.14,-45.24,3.92,4.38
370,booue,92,GA,1602430764,84,-0.09,11.94,27.18,1.02
362,kaeo,100,NZ,1602430763,84,-35.1,173.78,16.67,4.47
119,flinders,97,AU,1602430711,84,-34.58,150.86,16.11,0.45
449,terney,100,RU,1602430781,84,45.05,136.61,12.02,0.64
83,kaset sombun,100,TH,1602430704,84,16.28,101.95,22.89,0.71
94,svobodnyy,61,RU,1602430706,84,51.4,128.13,2.27,6.5
530,usinsk,97,RU,1602430797,84,65.99,57.53,8.0,9.07
515,lysva,98,RU,1602430794,84,58.11,57.81,9.26,2.44
269,takoradi,96,GH,1602430742,83,4.88,-1.76,25.64,5.47
232,ixtapa,75,MX,1602430496,83,20.7,-105.2,30.0,1.06
194,kendari,88,ID,1602430726,83,-3.94,122.5,24.05,0.71
518,saint-joseph,24,RE,1602430795,83,-21.37,55.62,24.0,3.6
333,yenagoa,97,NG,1602430757,83,4.92,6.26,26.32,3.52
99,new norfolk,15,AU,1602430226,83,-42.78,147.06,6.11,1.27
242,port-gentil,90,GA,1602430736,83,-0.72,8.78,27.0,4.1
398,isangel,36,VU,1602430267,83,-19.55,169.27,24.43,6.15
137,kloulklubed,75,PW,1602430715,83,7.04,134.26,27.0,2.6
395,panshi,93,CN,1602430769,83,42.94,126.06,4.02,1.37
279,milledgeville,75,US,1602430745,83,33.08,-83.23,26.11,5.34
436,lishui,5,CN,1602430778,83,28.46,119.91,17.71,0.56
464,acapulco,90,MX,1602430318,83,16.86,-99.89,27.0,1.6
47,saint-philippe,40,RE,1602430257,83,-21.36,55.77,24.0,3.6
294,denpasar,40,ID,1602430584,83,-8.65,115.22,28.0,8.2
87,cabo san lucas,5,MX,1602430224,83,22.89,-109.91,27.22,4.6
196,port blair,100,IN,1602430130,83,11.67,92.75,27.48,6.49
248,savannah,90,US,1602430619,83,32.08,-81.1,29.44,4.1
166,lakes entrance,0,AU,1602430720,83,-37.88,147.98,8.72,1.6
461,coquimbo,75,CL,1602430272,82,-29.95,-71.34,14.0,5.1
107,morgantown,75,US,1602430709,82,39.63,-79.96,19.0,0.83
215,carnarvon,0,AU,1602430224,82,-24.87,113.63,19.0,8.7
298,tungor,100,RU,1602430749,82,53.38,142.96,8.86,6.13
222,nenjiang,0,CN,1602430733,82,49.18,125.22,1.76,4.93
420,nanning,56,CN,1602430774,82,22.82,108.32,20.0,1.0
417,kachiry,100,KZ,1602430774,81,53.07,76.1,7.78,1.11
198,ust-tsilma,100,RU,1602430727,81,65.44,52.15,8.49,3.94
347,limoges,73,FR,1602430760,81,45.75,1.33,10.56,5.1
151,klaksvik,100,FO,1602430289,81,62.23,-6.59,7.0,1.0
128,meulaboh,100,ID,1602430713,81,4.14,96.13,25.34,1.36
162,sibolga,100,ID,1602430720,81,1.74,98.78,25.3,1.21
373,kiruna,45,SE,1602430765,81,67.86,20.23,7.0,1.5
97,northam,1,GB,1602430707,81,51.03,-4.22,14.44,2.24
353,hovd,84,MN,1602430290,80,48.01,91.64,0.62,0.95
230,bertea,100,RO,1602430734,80,45.23,25.87,15.56,0.97
227,kavieng,95,PG,1602430233,80,-2.57,150.8,27.65,4.93
182,three hills,40,CA,1602430723,80,51.7,-113.27,5.0,3.1
337,henties bay,3,NA,1602430758,80,-22.12,14.28,15.0,1.34
495,atambua,93,ID,1602430790,80,-9.11,124.89,23.36,2.35
27,rikitea,0,PF,1602430228,80,-23.12,-134.97,22.9,6.41
29,chernoistochinsk,85,RU,1602430695,80,57.74,59.87,9.05,4.21
169,lorengau,100,PG,1602430254,80,-2.02,147.27,27.44,3.8
342,malartic,40,CA,1602430759,80,48.13,-78.13,2.78,1.79
109,hithadhoo,100,MV,1602430234,80,-0.6,73.08,27.84,6.11
496,sumbe,40,AO,1602430328,79,-11.21,13.84,23.4,4.48
231,upata,35,VE,1602430734,79,8.01,-62.4,27.72,2.3
96,victoria,29,HK,1602430220,79,22.29,114.16,27.22,0.45
54,faanui,55,PF,1602430243,79,-16.48,-151.75,25.8,8.29
522,dergaon,20,IN,1602430795,79,26.7,93.97,29.0,0.13
120,cap malheureux,10,MU,1602430711,79,-19.98,57.61,25.0,2.68
217,yagodnoye,81,RU,1602430732,79,62.55,149.67,-3.92,1.39
386,ola,81,RU,1602430768,79,59.58,151.28,1.9,1.42
300,smithers,90,CA,1602430587,79,54.78,-127.17,0.0,1.0
504,grand gaube,8,MU,1602430274,79,-20.01,57.66,25.0,2.24
282,malpe,40,IN,1602430745,78,13.35,74.72,25.0,3.1
284,anahuac,5,MX,1602430275,78,27.23,-100.15,24.0,4.6
358,mangrol,52,IN,1602430762,78,21.12,70.12,28.73,6.52
272,nhulunbuy,0,AU,1602430321,78,-12.23,136.77,24.0,2.1
84,salalah,0,OM,1602430704,78,17.02,54.09,27.0,2.6
350,kudat,20,MY,1602430760,78,6.88,116.85,28.0,3.1
62,rincon,90,US,1602430700,78,32.3,-81.24,29.44,5.1
341,san patricio,75,US,1602430290,78,28.02,-97.52,29.44,6.7
485,ransang,100,PH,1602430788,78,8.96,117.58,26.93,2.01
48,kapaa,14,US,1602430235,78,22.08,-159.32,27.0,2.6
502,polovinnoye,59,RU,1602430792,78,54.79,65.99,8.2,3.64
486,beira,98,MZ,1602430788,78,-19.84,34.84,23.95,5.19
49,ormond beach,40,US,1602430616,78,29.29,-81.06,29.44,4.1
439,hobyo,0,SO,1602430778,78,5.35,48.53,26.96,4.8
399,nouadhibou,0,MR,1602430770,78,20.93,-17.03,22.0,10.3
243,pisco,0,PE,1602430303,77,-13.7,-76.22,19.0,3.6
253,kasongo-lunda,88,CD,1602430739,77,-6.47,16.82,26.49,1.55
519,kijang,75,KR,1602430795,77,35.24,129.21,15.0,2.1
60,vaitape,56,PF,1602430700,77,-16.52,-151.75,26.29,8.21
88,upernavik,100,GL,1602430247,77,72.79,-56.15,2.79,2.62
465,sokode,62,TG,1602430784,77,8.98,1.13,27.56,0.51
192,geraldton,90,AU,1602430224,77,-28.77,114.6,18.0,7.7
156,kavaratti,93,IN,1602430252,77,10.57,72.64,27.94,8.13
101,husavik,75,IS,1602430308,76,66.04,-17.34,9.0,3.6
102,banda aceh,99,ID,1602430708,76,5.56,95.32,26.86,5.23
98,tagusao,100,PH,1602430707,76,9.19,117.81,27.47,2.88
346,hambantota,100,LK,1602430291,76,6.12,81.12,27.0,8.0
159,kodiak,1,US,1602430227,76,57.79,-152.41,0.0,2.6
456,dunedin,39,NZ,1602430782,76,-45.87,170.5,10.13,2.7
476,lagos,76,NG,1602430576,76,6.58,3.75,27.25,3.8
313,fond du lac,90,US,1602430674,76,43.77,-88.44,13.0,5.1
334,middelkerke,20,BE,1602430757,76,51.16,2.84,12.78,6.7
42,jamestown,1,US,1602430256,76,42.1,-79.24,15.0,3.6
434,qingquan,6,CN,1602430777,76,30.45,115.26,21.11,1.35
116,truro,20,GB,1602430711,76,50.27,-5.05,13.0,5.1
509,myszkow,40,PL,1602430793,76,50.58,19.32,10.56,2.1
45,inverness,75,GB,1602430697,76,57.48,-4.22,11.11,2.6
357,saint-francois,56,FR,1602430762,76,46.42,3.91,10.56,0.45
130,labuhan,44,ID,1602430713,75,-6.88,112.21,27.87,2.65
170,sao filipe,6,CV,1602430238,75,14.9,-24.5,27.03,3.97
123,gizo,71,SB,1602430712,75,-8.1,156.84,27.74,1.29
492,tambilil,100,PH,1602430790,75,5.96,124.67,26.4,2.14
178,san quintin,96,MX,1602430723,75,30.48,-115.95,20.73,3.99
534,singaraja,30,ID,1602430798,75,-8.11,115.09,26.43,2.22
374,cockburn town,82,TC,1602430765,75,21.46,-71.14,28.21,5.95
446,dryden,75,CA,1602430780,75,49.78,-92.75,8.0,6.7
329,sioux lookout,90,CA,1602430242,75,50.1,-91.92,7.0,6.7
445,yatou,21,CN,1602430324,75,37.15,122.38,15.32,2.17
146,butaritari,4,KI,1602430239,75,3.07,172.79,27.13,6.37
532,bandarbeyla,0,SO,1602430308,74,9.49,50.81,26.48,2.69
494,le vauclin,15,MQ,1602430790,74,14.55,-60.84,30.0,7.7
61,tuktoyaktuk,90,CA,1602430240,74,69.45,-133.04,-1.0,9.3
524,anchorage,90,US,1602430796,74,61.22,-149.9,5.56,0.68
469,boende,95,CD,1602430785,74,-0.22,20.87,26.72,2.33
422,champerico,20,GT,1602430775,74,14.3,-91.92,29.0,2.1
428,beloha,48,MG,1602430776,74,-25.17,45.05,20.44,2.3
348,ahuimanu,40,US,1602430760,74,21.44,-157.84,26.0,1.5
523,loubomo,98,CG,1602430796,74,-4.2,12.67,25.68,2.93
480,bonthe,63,SL,1602430304,74,7.53,-12.51,28.57,4.28
345,severo-kurilsk,8,RU,1602430232,74,50.68,156.12,6.58,3.33
131,mahajanga,20,MG,1602430713,74,-15.72,46.32,28.0,6.2
252,dakar,40,SN,1602430738,74,14.69,-17.44,31.0,4.1
136,marovoay,20,MG,1602430715,74,-16.1,46.63,28.0,6.2
122,san andres,20,CO,1602430704,74,12.58,-81.7,30.0,4.1
100,nicoya,20,CR,1602430512,74,10.15,-85.45,29.0,2.6
111,dalby,100,AU,1602430710,73,-27.18,151.27,18.33,0.45
164,russell,90,US,1602430720,73,32.35,-85.2,25.0,3.1
220,coahuayana,75,MX,1602430255,73,18.73,-103.68,24.0,0.21
376,kieta,66,PG,1602430765,73,-6.22,155.63,25.93,1.51
154,ribeira grande,40,PT,1602430277,73,38.52,-28.7,23.0,5.7
86,inhambane,75,MZ,1602430705,73,-23.86,35.38,22.0,4.1
442,bundaberg,40,AU,1602430779,73,-24.85,152.35,21.67,2.6
311,tautira,20,PF,1602430753,73,-17.73,-149.15,24.0,2.1
314,teahupoo,20,PF,1602430753,73,-17.83,-149.27,24.0,2.1
308,hearst,61,CA,1602430752,72,49.68,-83.67,4.2,3.64
21,atuona,24,PF,1602430248,72,-9.8,-139.03,25.7,10.95
516,rosarito,90,MX,1602430532,72,32.33,-117.03,20.56,2.6
340,pryluky,81,UA,1602430759,72,50.59,32.39,16.78,1.64
407,lazaro cardenas,100,MX,1602430772,72,17.96,-102.2,29.21,0.86
202,murray bridge,0,AU,1602430728,72,-35.12,139.27,15.56,0.45
77,biak,96,ID,1602430703,71,-0.91,122.88,24.1,3.3
46,raudeberg,40,NO,1602430260,71,61.99,5.14,11.0,6.7
240,richards bay,100,ZA,1602430315,71,-28.78,32.04,16.96,3.15
528,linxia,100,CN,1602430797,71,35.6,103.21,7.29,1.39
104,broome,1,US,1602430708,71,42.25,-75.83,13.33,3.6
153,gouyave,40,GD,1602430718,70,12.16,-61.73,31.0,7.7
206,porlamar,5,VE,1602430729,70,10.96,-63.85,31.0,6.2
406,oussouye,75,SN,1602430772,70,12.48,-16.55,32.0,2.1
183,prince albert,90,CA,1602430494,70,53.2,-105.77,9.0,6.7
360,gulf gate estates,40,US,1602430762,70,27.25,-82.51,30.56,4.1
133,kruisfontein,51,ZA,1602430226,70,-34.0,24.73,15.0,1.34
431,saint-georges,40,GD,1602430776,70,12.06,-61.75,31.0,7.7
115,bathsheba,20,BB,1602430326,70,13.22,-59.52,30.0,8.2
79,puerto rondon,1,CO,1602430704,70,6.28,-71.1,30.96,0.35
233,casablanca,1,MA,1602430735,69,33.59,-7.62,26.0,6.2
106,puerto escondido,40,MX,1602430709,69,15.85,-97.07,28.0,3.1
352,margate,90,GB,1602430285,69,51.38,1.39,13.89,0.89
195,kahului,1,US,1602430270,69,20.89,-156.47,23.89,3.71
423,guerrero negro,4,MX,1602430596,69,27.98,-114.06,22.78,6.02
525,nouakchott,0,MR,1602430778,69,18.09,-15.98,28.0,5.7
511,sur,5,OM,1602430793,69,22.57,59.53,27.21,2.59
467,capreol,20,CA,1602430784,69,46.71,-80.92,5.56,5.1
274,waingapu,44,ID,1602430744,69,-9.66,120.26,27.02,3.31
271,khandbari,5,NP,1602430743,69,27.37,87.2,21.32,0.7
507,port shepstone,86,ZA,1602430638,69,-30.74,30.45,16.26,5.97
204,longyearbyen,75,SJ,1602430274,68,78.22,15.64,-4.0,1.0
68,torbay,90,CA,1602430294,68,47.67,-52.73,18.33,15.4
4,busselton,0,AU,1602430010,68,-33.65,115.33,11.11,3.26
6,barrow,90,US,1602429982,68,71.29,-156.79,-4.0,7.7
9,ushuaia,72,AR,1602430223,68,-54.8,-68.3,8.91,3.46
280,namibe,20,AO,1602430745,68,-15.2,12.15,22.0,5.7
302,ulaanbaatar,6,MN,1602430295,67,47.91,106.88,-7.0,1.0
150,newport,16,GB,1602430552,67,51.59,-3.0,15.56,2.73
186,port elizabeth,75,ZA,1602430252,67,-33.92,25.57,15.0,4.6
392,bosaso,0,SO,1602430769,66,11.28,49.18,30.0,5.7
176,maragogi,29,BR,1602430486,66,-9.01,-35.22,27.95,7.38
520,tecoanapa,92,MX,1602430795,66,16.52,-98.75,29.0,2.38
531,ambilobe,30,MG,1602430797,66,-13.2,49.05,27.47,3.03
433,sao jose da coroa grande,19,BR,1602430777,66,-8.9,-35.15,27.98,7.28
0,saint anthony,40,US,1602430689,66,45.02,-93.22,12.22,4.6
307,uarini,20,BR,1602430752,66,-2.99,-65.11,32.0,2.6
265,kralendijk,75,BQ,1602430742,66,12.15,-68.27,32.0,6.7
15,puerto ayora,20,EC,1602430225,65,-0.74,-90.35,25.0,6.2
141,cidreira,0,BR,1602430229,65,-30.18,-50.21,19.37,8.14
155,cartagena,22,CO,1602430718,65,10.4,-75.51,30.8,1.18
412,hays,0,US,1602430773,65,30.05,-98.03,29.44,1.34
396,huarmey,7,PE,1602430769,65,-10.07,-78.15,21.07,4.55
63,hualmay,4,PE,1602430701,64,-11.1,-77.61,21.08,4.15
57,jasper,1,US,1602430700,64,37.2,-94.35,25.0,5.1
491,bay roberts,95,CA,1602430789,64,47.6,-53.26,19.44,12.46
506,bereda,35,ES,1602430792,64,43.27,-7.54,16.11,5.81
255,esmeraldas,75,BR,1602430739,64,-19.76,-44.31,24.0,5.1
58,bethel,75,US,1602430263,63,41.37,-73.41,16.11,4.1
237,punta alta,63,AR,1602430455,63,-38.88,-62.07,15.58,4.87
296,rocha,44,UY,1602429986,63,-34.48,-54.33,17.98,5.61
188,antofagasta,20,CL,1602430725,63,-23.65,-70.4,19.44,4.6
425,petropavlovsk-kamchatskiy,0,RU,1602430775,63,53.05,158.65,-2.0,2.0
225,torres,0,BR,1602430733,63,-29.34,-49.73,20.59,6.74
212,ampanihy,40,MG,1602430730,62,-24.7,44.75,21.88,4.19
160,boshkengash,20,TJ,1602430719,62,38.47,68.81,12.0,1.07
512,khlevnoye,75,RU,1602430794,62,52.2,39.09,15.0,4.0
505,praya,20,CV,1602430792,62,14.92,-23.51,30.0,8.7
144,juba,12,SS,1602430716,62,4.85,31.58,26.88,0.57
319,llanes,85,ES,1602430754,62,43.42,-4.75,17.22,5.81
172,varhaug,0,NO,1602430721,62,58.61,5.65,13.0,6.2
187,qadian,0,IN,1602430724,61,31.82,75.39,25.0,1.0
264,tartus,20,SY,1602430741,61,34.89,35.89,27.0,2.1
367,berbera,0,SO,1602430764,60,10.44,45.01,29.77,2.25
40,butajira,9,ET,1602430696,60,8.12,38.37,15.75,2.97
28,camacha,75,PT,1602430333,60,33.08,-16.33,23.0,6.7
1,hilo,1,US,1602429984,60,19.73,-155.09,21.11,2.6
475,paola,95,IT,1602430786,60,39.36,16.04,22.0,4.6
11,port alfred,60,ZA,1602430231,60,-33.59,26.89,14.95,3.91
18,maldonado,75,UY,1602430693,59,-34.67,-54.92,18.0,4.1
229,east london,20,ZA,1602430227,59,-33.02,27.91,16.0,3.1
288,yumen,12,CN,1602430281,59,40.28,97.2,4.24,2.87
138,mazagao,40,BR,1602430715,59,-0.12,-51.29,33.0,4.1
158,carballo,40,ES,1602430719,59,43.21,-8.69,16.0,5.7
482,oktyabrskiy,18,RU,1602430787,58,54.48,53.47,7.19,2.84
165,sinnamary,3,GF,1602430720,58,5.38,-52.95,30.92,4.44
95,roma,1,US,1602430706,58,43.21,-75.46,12.22,1.5
325,nisia floresta,40,BR,1602430755,58,-6.09,-35.21,30.0,5.1
203,port lincoln,100,AU,1602430248,58,-34.73,135.87,18.41,5.93
50,touros,40,BR,1602430332,58,-5.2,-35.46,30.0,5.1
318,pirgos,9,GR,1602430754,58,35.12,25.72,24.44,0.89
356,moyale,37,KE,1602430240,58,3.52,39.06,24.6,1.83
36,taltal,21,CL,1602430327,58,-25.4,-70.48,16.91,1.9
303,ancud,0,CL,1602430288,58,-41.87,-73.82,12.0,2.1
