,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
78,tasiilaq,100,GL,1602448330,95,65.61,-37.64,2.0,5.7
80,porto nacional,75,BR,1602448330,94,-10.71,-48.42,23.0,3.6
116,cherskiy,47,RU,1602448339,94,68.75,161.3,-7.54,3.53
380,miri,40,MY,1602448400,94,4.41,114.01,24.0,2.69
317,kuala terengganu,40,MY,1602448382,94,5.33,103.14,27.0,0.5
45,pevek,66,RU,1602448322,94,69.7,170.31,-2.39,0.54
120,tiksi,52,RU,1602448339,94,71.69,128.87,-11.49,3.32
498,santo tomas,90,PH,1602448444,94,14.11,121.14,26.0,1.5
537,dharmadam,90,IN,1602448459,94,11.78,75.43,24.0,0.5
304,kollam,40,IN,1602448379,94,8.88,76.6,27.0,4.76
464,obo,100,CF,1602448432,94,5.4,26.49,20.51,1.4
237,ketou,100,BJ,1602448365,94,7.36,2.6,23.67,2.09
452,myra,100,IT,1602448427,94,45.44,12.13,10.0,2.24
181,port hardy,90,CA,1602448351,93,50.7,-127.42,9.0,8.2
81,millau,75,FR,1602448330,93,44.08,2.92,9.44,4.6
460,sungaipenuh,100,ID,1602448431,93,-2.08,101.38,18.34,0.78
178,hasaki,75,JP,1602448351,93,35.73,140.83,19.0,4.6
221,kirkwall,100,GB,1602448174,93,58.98,-2.96,7.0,1.5
359,byron bay,90,AU,1602448393,93,-28.65,153.62,16.11,1.82
445,smirnykh,100,RU,1602448425,93,49.75,142.83,8.41,2.9
176,laurel,90,US,1602448320,93,39.1,-76.85,20.0,2.1
187,iqaluit,75,CA,1602448166,93,63.75,-68.51,2.0,6.2
119,pangnirtung,75,CA,1602448339,93,66.15,-65.71,2.0,1.0
132,sora,100,IT,1602448155,93,41.72,13.61,15.0,1.22
135,bar-le-duc,2,FR,1602448342,93,48.75,5.17,8.0,0.5
137,boksitogorsk,100,RU,1602448343,93,59.47,33.85,10.0,1.3
209,carnarvon,40,AU,1602448357,93,-24.87,113.63,18.0,7.7
263,mehamn,90,NO,1602448370,93,71.04,27.85,4.0,2.6
451,nonoichi,75,JP,1602448427,93,36.53,136.62,18.0,1.5
514,ballina,90,AU,1602448450,93,-28.87,153.57,16.11,2.47
340,kaunas,90,LT,1602448237,93,54.9,23.9,10.0,1.0
500,auray,75,FR,1602448445,93,47.67,-2.99,10.56,1.5
49,klaksvik,100,FO,1602448323,93,62.23,-6.59,6.0,2.6
192,ketchikan,90,US,1602448354,93,55.34,-131.65,9.0,4.1
507,saint-gaudens,90,FR,1602448448,93,43.08,0.67,10.0,3.6
259,havoysund,90,NO,1602448369,93,71.0,24.66,5.0,2.1
47,kodiak,90,US,1602448323,93,57.79,-152.41,4.0,2.1
477,tevriz,60,RU,1602448437,93,57.51,72.4,6.68,2.36
52,gold coast,75,AU,1602448324,93,-28.0,153.43,19.44,3.1
249,emerald,100,AU,1602448367,93,-23.53,148.17,19.0,2.1
552,algiers,75,DZ,1602448466,93,36.75,3.04,17.0,1.5
516,apahida,6,RO,1602448451,93,46.82,23.75,12.78,1.0
16,vanavara,29,RU,1602448315,93,60.34,102.28,-7.39,1.88
524,palana,0,RU,1602448454,93,59.12,159.97,-0.43,3.67
191,genhe,0,CN,1602448354,93,50.78,121.52,-5.16,2.26
31,sovetskaya gavan,100,RU,1602448319,93,48.97,140.29,11.92,4.15
468,vestmanna,100,FO,1602448433,93,62.16,-7.17,6.0,2.6
148,norman wells,90,CA,1602448333,92,65.28,-126.83,-1.0,7.7
224,yenagoa,35,NG,1602448361,92,4.92,6.26,24.2,2.0
257,talnakh,40,RU,1602448369,92,69.49,88.4,-4.0,10.0
107,hofn,100,IS,1602448337,92,64.25,-15.21,8.85,3.09
46,mananjary,20,MG,1602448323,92,-21.22,48.33,23.2,3.86
15,tuktoyaktuk,90,CA,1602448315,92,69.45,-133.04,-2.0,10.3
289,yaan,44,NG,1602448376,92,7.38,8.57,23.6,2.63
553,clyde river,90,CA,1602448467,92,70.47,-68.59,-1.0,1.0
286,ulagan,100,RU,1602448375,92,50.63,87.96,-0.61,0.94
68,loikaw,90,MM,1602448328,92,19.67,97.21,18.82,1.17
73,bilibino,20,RU,1602448329,92,68.05,166.44,-10.42,0.75
479,berdigestyakh,24,RU,1602448384,92,62.1,126.7,-6.13,2.21
94,ulaangom,100,MN,1602448334,92,49.98,92.07,-1.54,0.45
472,melhus,66,NO,1602448435,91,63.29,10.28,8.33,0.89
270,huanan,0,CN,1602448371,91,46.22,130.52,3.07,2.3
383,antalaha,53,MG,1602448401,91,-14.9,50.28,23.49,2.28
23,new norfolk,59,AU,1602448317,91,-42.78,147.06,6.11,1.27
264,semey,100,KZ,1602448370,91,50.41,80.23,7.5,3.66
381,killybegs,94,IE,1602448401,91,54.63,-8.45,10.0,1.34
184,sobolevo,100,RU,1602448352,91,54.43,31.9,9.52,1.48
111,ilulissat,100,GL,1602448338,91,69.22,-51.1,4.0,5.7
206,soanierana ivongo,38,MG,1602448357,91,-16.92,49.58,23.83,0.32
378,ewo,100,CG,1602448400,90,-0.87,14.82,23.18,1.33
105,portree,100,GB,1602448337,90,57.41,-6.19,7.78,1.79
395,jaypur,47,IN,1602448406,90,18.85,82.58,21.55,1.16
34,baley,78,RU,1602448320,89,51.6,116.63,-5.24,1.96
348,srednekolymsk,0,RU,1602448389,89,67.45,153.68,-6.04,1.0
526,bundibugyo,64,UG,1602448455,89,0.74,30.04,19.56,1.44
560,krasnyy chikoy,100,RU,1602448469,89,50.36,108.75,-3.39,1.98
542,kamyshevatskaya,1,RU,1602448462,89,46.41,37.96,17.59,3.46
72,bonavista,96,CA,1602448329,89,48.65,-53.11,9.58,8.18
139,baykit,77,RU,1602448343,89,61.67,96.37,-5.16,0.7
154,alihe,0,CN,1602448346,89,50.57,123.72,-0.96,3.46
369,sambava,34,MG,1602448396,89,-14.27,50.17,23.79,3.55
313,saurimo,63,AO,1602448381,89,-9.66,20.39,19.43,0.85
110,ayan,100,RU,1602448338,89,56.45,138.17,8.52,8.23
298,henties bay,0,NA,1602448377,89,-22.12,14.28,13.33,0.56
211,bhatkal,100,IN,1602448358,89,13.97,74.57,24.56,3.76
486,te anau,98,NZ,1602448440,89,-45.42,167.72,9.92,0.44
556,makhinjauri,0,GE,1602448467,88,41.67,41.69,18.0,4.6
545,hendersonville,90,US,1602448232,88,36.3,-86.62,23.0,4.1
152,avarua,31,CK,1602448174,88,-21.21,-159.78,24.0,2.1
218,katsuura,75,JP,1602448360,88,35.13,140.3,20.0,7.2
168,takoradi,99,GH,1602448349,88,4.88,-1.76,24.58,3.35
11,esso,0,RU,1602448315,88,55.93,158.7,-3.76,1.96
329,bundaberg,96,AU,1602448384,88,-24.85,152.35,18.89,3.6
331,bakau,20,GM,1602448385,88,13.48,-16.68,28.0,5.02
466,vakhrushev,100,RU,1602448433,88,48.98,142.97,11.9,8.15
397,sidney,40,AU,1602448275,88,-33.87,151.21,18.89,4.6
40,vaini,75,TO,1602448321,88,-21.2,-175.2,22.0,4.6
279,sisimiut,91,GL,1602448374,88,66.94,-53.67,2.77,2.68
66,mataura,100,NZ,1602448327,88,-46.19,168.86,10.56,3.13
51,tuatapere,100,NZ,1602448324,88,-46.13,167.68,10.56,3.13
425,alofi,75,NU,1602448416,88,-19.06,-169.92,24.0,8.2
303,nishihara,20,JP,1602448379,88,26.18,127.76,26.0,1.0
43,bluff,90,NZ,1602448322,88,-46.6,168.33,10.56,3.13
408,ostrovnoy,85,RU,1602448410,88,68.05,39.51,5.86,2.96
405,yining,0,CN,1602448409,88,29.04,114.56,16.48,0.59
262,sindou,44,BF,1602448370,88,10.67,-5.17,23.37,2.13
77,georgetown,20,MY,1602448213,88,5.41,100.34,26.67,1.0
523,guiyang,90,CN,1602448255,87,26.58,106.72,15.0,2.0
274,ahipara,97,NZ,1602448373,87,-35.17,173.17,16.52,5.19
179,portland,90,US,1602448098,87,45.52,-122.68,14.0,5.1
284,roald,75,NO,1602448375,87,62.58,6.13,7.78,1.0
285,la ronge,90,CA,1602448375,87,55.1,-105.28,7.0,5.7
86,sampit,100,ID,1602448332,87,-2.53,112.95,23.69,0.93
360,okhotsk,100,RU,1602448326,87,59.38,143.3,6.74,13.41
253,codrington,32,AU,1602448368,87,-38.27,141.97,9.24,4.49
172,vestmannaeyjar,20,IS,1602448350,87,63.44,-20.27,7.0,2.6
91,ballymena,96,GB,1602448333,87,54.86,-6.28,10.0,2.1
366,nuuk,100,GL,1602448395,87,64.18,-51.72,5.0,11.8
435,juneau,90,US,1602448200,87,58.3,-134.42,8.89,5.1
12,nikolskoye,90,RU,1602448315,87,59.7,30.79,12.22,1.0
207,bengkulu,100,ID,1602448357,87,-3.8,102.27,24.07,3.23
56,novopokrovka,75,UA,1602448325,87,49.84,36.55,13.0,4.0
14,hobart,75,AU,1602448090,87,-42.88,147.33,7.0,4.6
311,sorland,75,NO,1602448380,87,67.67,12.69,6.0,2.6
320,uyemskiy,75,RU,1602448383,87,64.47,40.85,9.0,1.0
300,hoquiam,90,US,1602448378,87,46.98,-123.89,14.44,8.7
112,vardo,75,NO,1602448338,87,70.37,31.11,6.0,5.7
403,axim,93,GH,1602448409,87,4.87,-2.24,24.7,3.05
419,smithers,40,CA,1602448415,87,54.78,-127.17,6.0,0.89
162,husavik,40,IS,1602448347,87,66.04,-17.34,6.0,2.1
356,san policarpo,100,PH,1602448392,86,12.18,125.51,24.77,2.46
352,sangar,93,RU,1602448391,86,63.92,127.47,-6.23,3.35
343,balikpapan,80,ID,1602448387,86,-1.27,116.83,24.6,3.06
332,shingu,5,JP,1602448208,86,33.73,135.98,18.97,2.06
323,zarubino,100,RU,1602448327,86,42.63,131.09,11.27,3.54
39,batagay-alyta,0,RU,1602448321,86,67.8,130.41,-10.65,0.67
157,berlevag,75,NO,1602448346,86,70.86,29.09,5.0,4.6
401,usinsk,99,RU,1602448408,86,65.99,57.53,7.53,7.13
420,kaeo,100,NZ,1602448415,86,-35.1,173.78,17.22,4.02
101,yellowknife,90,CA,1602448203,86,62.46,-114.35,1.67,5.1
463,shangqiu,97,CN,1602448432,86,34.45,115.65,15.85,2.57
265,narsaq,100,GL,1602448370,86,60.92,-46.05,5.0,2.6
482,flinders,53,AU,1602448439,86,-34.58,150.86,15.0,0.89
60,bandar,100,ID,1602448326,86,2.05,99.75,23.19,0.94
272,saravena,83,CO,1602448372,86,6.95,-71.88,27.53,1.17
547,mozarlandia,100,BR,1602448464,85,-14.74,-50.57,23.15,2.43
546,chernyakhiv,99,UA,1602448464,85,50.46,28.67,12.81,2.2
433,balvanesti,3,RO,1602448420,85,44.8,22.68,11.89,2.13
424,phalombe,100,MW,1602448416,85,-15.81,35.65,20.65,2.74
310,urucuca,99,BR,1602448380,85,-14.59,-39.28,24.28,1.64
314,caravelas,97,BR,1602448381,84,-17.71,-39.25,22.61,5.44
282,manono,100,CD,1602448374,84,-7.3,27.42,22.64,0.45
0,qaanaaq,86,GL,1602448313,84,77.48,-69.36,-0.29,3.57
402,sedhiou,58,SN,1602448408,84,12.71,-15.56,26.18,1.41
71,gambela,99,ET,1602448329,84,8.25,34.58,21.78,1.36
337,marlborough,19,NZ,1602448386,84,-41.67,173.5,17.22,0.45
443,metro,100,ID,1602448424,84,-5.11,105.31,24.09,1.49
338,kushima,84,JP,1602448386,84,31.46,131.23,21.31,1.18
364,matara,99,LK,1602448394,84,5.95,80.54,26.15,6.28
497,zalantun,0,CN,1602448443,84,48.0,122.72,-0.35,4.07
158,daru,99,PG,1602448346,84,-9.08,143.21,25.8,6.44
63,kokopo,18,PG,1602448327,84,-4.35,152.26,25.8,2.84
434,charters towers,46,AU,1602448420,83,-20.1,146.27,20.07,6.03
455,wanning,100,CN,1602448429,83,18.8,110.4,25.64,6.77
456,stykkisholmur,99,IS,1602448429,83,65.08,-22.73,6.9,2.27
240,enshi,100,CN,1602448365,83,30.3,109.48,18.45,0.42
241,portsmouth,5,GB,1602448365,83,50.8,-1.09,8.33,2.97
79,souillac,40,MU,1602448330,83,-20.52,57.52,23.0,1.5
74,saint-pierre,1,RE,1602448329,83,-21.34,55.48,22.0,2.1
59,caxito,35,AO,1602448326,83,-8.58,13.66,23.0,3.6
118,nouadhibou,0,MR,1602448339,83,20.93,-17.03,21.0,7.2
58,kibala,40,TD,1602448326,83,9.11,18.35,23.0,0.73
269,ust-nera,100,RU,1602448371,83,64.57,143.2,-3.91,1.16
268,mahajanga,40,MG,1602448371,83,-15.72,46.32,26.0,1.5
30,kaitangata,87,NZ,1602448319,83,-46.28,169.85,11.67,2.24
533,dakar,20,SN,1602448458,83,14.69,-17.44,28.0,3.82
549,sulina,100,RO,1602448465,83,45.16,29.65,18.31,2.98
550,kloulklubed,90,PW,1602448466,83,7.04,134.26,27.0,2.1
202,mahebourg,40,MU,1602448356,83,-20.41,57.7,23.0,1.5
199,wanxian,100,CN,1602448355,83,30.8,108.39,18.0,0.43
126,vanimo,68,PG,1602448341,83,-2.67,141.3,25.18,2.94
195,namibe,42,AO,1602448354,83,-15.2,12.15,16.85,2.0
308,san andres,40,CO,1602448380,83,12.58,-81.7,29.0,5.1
165,saint-philippe,33,RE,1602448348,83,-21.36,55.77,22.0,2.1
161,bambous virieux,40,MU,1602448347,83,-20.34,57.76,23.33,1.5
136,port hedland,0,AU,1602447840,83,-20.32,118.57,21.0,3.1
373,nova vicosa,99,BR,1602448398,83,-17.89,-39.37,22.89,7.22
393,lubu,70,CN,1602448405,83,23.17,112.28,20.81,1.09
392,galle,99,LK,1602448404,83,6.04,80.22,26.74,7.49
214,cabinda,44,AO,1602448359,83,-5.55,12.2,24.76,4.69
228,ribeira grande,75,PT,1602448362,82,38.52,-28.7,20.0,6.2
484,tanggul,27,ID,1602448439,82,-8.16,113.45,23.76,0.78
189,chumikan,100,RU,1602448353,82,54.72,135.31,6.37,10.03
532,port pirie,95,AU,1602448457,82,-33.18,138.02,14.0,2.1
35,olafsvik,78,IS,1602448320,82,64.89,-23.71,7.37,2.39
376,gigmoto,100,PH,1602448399,82,13.78,124.39,25.75,1.83
421,kruisfontein,0,ZA,1602448415,82,-34.0,24.73,12.22,1.79
400,sorong,89,ID,1602448408,82,-0.88,131.25,26.47,3.0
92,muyinga,0,BI,1602448334,82,-2.83,30.33,17.2,0.94
153,chicama,75,PE,1602448345,82,-7.84,-79.15,18.0,5.1
386,geraldton,0,AU,1602448402,82,-28.77,114.6,14.0,3.6
429,sola,15,VU,1602448418,82,-13.88,167.55,27.58,9.98
134,kelo,100,TD,1602448342,82,9.31,15.81,25.06,2.72
287,nayudupeta,98,IN,1602448375,82,13.9,79.9,24.82,1.81
333,longjiang,0,CN,1602448385,81,47.33,123.18,0.55,4.43
412,mount gambier,87,AU,1602448412,81,-37.83,140.77,10.0,4.6
438,kenai,90,US,1602448422,81,60.55,-151.26,6.67,1.65
413,kavaratti,100,IN,1602448412,81,10.57,72.64,27.43,8.82
476,lewisporte,75,CA,1602448436,81,49.25,-55.05,10.0,6.7
521,tandil,28,AR,1602448202,81,-37.32,-59.13,13.33,4.47
318,tanete,100,ID,1602448382,81,-3.94,119.78,23.99,3.68
458,orzu,75,TJ,1602448430,81,37.56,68.82,9.0,0.3
379,kongsberg,23,NO,1602448368,81,59.67,9.65,7.22,1.18
312,piacabucu,89,BR,1602448381,81,-10.41,-36.43,25.26,7.85
281,mandalgovi,4,MN,1602448374,81,45.76,106.27,-3.75,3.7
85,svetlogorsk,100,BY,1602448332,81,52.63,29.73,11.94,1.19
213,lavrentiya,99,RU,1602448359,81,65.58,-171.0,2.72,6.81
62,ginir,10,ET,1602448326,81,7.13,40.7,14.55,2.96
54,thompson,75,CA,1602448325,81,55.74,-97.86,8.0,2.1
160,poum,79,NC,1602448347,81,-20.23,164.02,24.84,5.36
481,lokoja,82,NG,1602448438,80,7.8,6.74,25.51,1.44
238,moerai,0,PF,1602448365,80,-22.43,-151.33,24.74,6.28
531,male,100,MV,1602448457,80,4.17,73.51,27.75,8.44
414,lasa,75,IT,1602448413,80,46.62,10.7,5.56,4.6
296,pachino,0,IT,1602448377,80,36.72,15.09,18.89,5.28
50,busselton,0,AU,1602448324,80,-33.65,115.33,8.33,3.05
495,high level,90,CA,1602448443,80,58.52,-117.14,5.0,4.6
254,faanui,0,PF,1602448368,80,-16.48,-151.75,25.99,7.19
84,qiqihar,0,CN,1602448331,80,47.34,123.97,0.95,4.54
288,waingapu,40,ID,1602448375,80,-9.66,120.26,25.63,2.82
446,baruun-urt,7,MN,1602448425,79,46.68,113.28,-3.99,3.08
53,victoria,86,HK,1602448206,79,22.29,114.16,26.67,6.4
377,omsukchan,55,RU,1602448400,79,62.53,155.8,-4.59,2.99
487,sovetskiy,100,RU,1602448440,79,61.36,63.58,8.36,3.87
292,kavieng,28,PG,1602448376,79,-2.57,150.8,27.83,4.78
231,arman,100,RU,1602448363,79,59.7,150.17,1.89,2.28
183,domoni,0,KM,1602448352,79,-12.26,44.53,26.43,1.65
551,kirakira,70,SB,1602448466,79,-10.45,161.92,28.17,5.72
557,buala,22,SB,1602448468,79,-8.14,159.59,28.02,2.57
93,airai,2,TL,1602448334,78,-8.93,125.41,14.61,1.41
354,los llanos de aridane,75,ES,1602448391,78,28.66,-17.92,24.0,6.2
349,tevaitoa,30,PF,1602448390,78,-16.78,-151.5,26.37,7.53
141,bandarbeyla,0,SO,1602448343,78,9.49,50.81,25.46,1.61
90,cairns,40,AU,1602447590,78,-16.92,145.77,23.0,4.1
396,moroni,0,KM,1602448406,78,-11.7,43.26,26.13,0.74
143,severo-kurilsk,1,RU,1602448344,78,50.68,156.12,7.26,2.3
88,zhuhai,20,CN,1602448333,78,22.28,113.57,27.0,3.6
129,sao filipe,3,CV,1602448341,78,14.9,-24.5,26.56,4.5
541,saint-paul,2,RE,1602448462,78,-21.01,55.27,23.0,5.7
384,benguela,85,AO,1602448402,78,-12.58,13.41,22.34,2.29
1,rikitea,16,PF,1602448313,78,-23.12,-134.97,23.25,5.25
115,fairbanks,90,US,1602448232,78,64.84,-147.72,1.0,3.5
290,padang,100,ID,1602448376,78,-0.95,100.35,25.51,1.96
467,huanren,0,CN,1602448433,78,41.26,125.37,4.4,1.81
325,salalah,1,OM,1602448384,78,17.02,54.09,26.0,2.1
122,nanortalik,100,GL,1602448144,78,60.14,-45.24,3.94,6.34
38,asfi,0,MA,1602448321,78,32.3,-9.24,20.61,5.15
20,arrecife,20,ES,1602448316,78,28.96,-13.55,23.0,5.7
362,liwale,0,TZ,1602448394,77,-9.77,37.93,21.64,1.7
194,torbay,75,CA,1602448354,77,47.67,-52.73,17.22,11.8
449,paamiut,100,GL,1602448426,77,61.99,-49.67,3.98,8.41
374,saint-augustin,99,CA,1602448393,77,51.23,-58.65,2.9,5.75
260,coquimbo,75,CL,1602448369,77,-29.95,-71.34,15.0,3.1
530,atherton,96,GB,1602448456,77,53.52,-2.49,10.0,0.93
508,bom jesus do itabapoana,100,BR,1602448384,77,-21.13,-41.68,19.06,2.27
404,mocuba,100,MZ,1602448409,77,-16.84,36.99,24.31,2.98
509,kulhudhuffushi,100,MV,1602448243,77,6.62,73.07,28.23,8.62
306,isangel,7,VU,1602448379,77,-19.55,169.27,25.79,6.97
275,cidreira,0,BR,1602448373,76,-30.18,-50.21,18.27,7.63
113,san felipe,70,VE,1602448338,76,10.34,-68.74,28.2,1.85
459,carballo,45,ES,1602448430,76,43.21,-8.69,13.0,2.1
485,ambilobe,0,MG,1602448440,76,-13.2,49.05,24.92,1.92
444,biak,100,ID,1602448425,76,-0.91,122.88,24.31,3.35
185,maneadero,26,MX,1602448352,76,31.72,-116.57,23.89,1.79
150,upernavik,100,GL,1602448345,76,72.79,-56.15,3.44,5.75
67,hithadhoo,100,MV,1602448242,76,-0.6,73.08,27.54,5.06
226,komsomolskiy,3,UZ,1602448362,76,40.43,71.72,11.0,1.0
543,hoopstad,0,ZA,1602448463,76,-27.83,25.91,12.11,3.48
243,richards bay,100,ZA,1602448366,76,-28.78,32.04,16.34,2.32
130,kupang,100,ID,1602448341,75,-10.17,123.58,25.25,2.81
307,fort nelson,75,CA,1602448380,75,58.81,-122.7,6.0,3.1
36,at-bashi,72,KG,1602448320,75,41.17,75.81,3.0,0.14
411,andenes,75,NO,1602448411,75,69.31,16.12,7.0,4.6
193,ufimskiy,99,RU,1602448354,75,56.71,58.05,6.64,2.69
83,lagoa,2,PT,1602448331,74,39.05,-27.98,19.68,8.31
180,road town,40,VG,1602448194,74,18.42,-64.62,30.0,3.6
462,sapouy,0,BF,1602448431,74,11.55,-1.77,25.26,2.08
82,butaritari,24,KI,1602448331,74,3.07,172.79,27.18,6.2
344,guatire,100,VE,1602448387,74,10.48,-66.54,25.0,1.34
159,provideniya,75,RU,1602448347,74,64.38,-173.3,3.0,6.0
147,coahuayana,40,MX,1602448345,74,18.73,-103.68,28.0,2.18
121,bathsheba,75,BB,1602448340,74,13.22,-59.52,30.0,5.7
128,avera,90,US,1602448341,74,33.19,-82.53,27.0,3.1
198,chuy,30,UY,1602448355,74,-33.7,-53.46,17.51,3.84
301,mastic beach,100,US,1602448110,74,40.77,-72.85,17.78,0.45
496,dwarka,18,IN,1602448443,74,22.24,68.97,28.62,6.18
61,bodden town,20,KY,1602448326,74,19.28,-81.25,31.67,3.6
518,miramar,75,US,1602448254,74,25.99,-80.23,33.33,3.6
328,naliya,7,IN,1602448384,74,23.27,68.83,27.91,3.61
65,vila,2,PT,1602448327,73,42.03,-8.16,11.11,3.58
13,atuona,3,PF,1602448315,73,-9.8,-139.03,25.76,9.25
164,morondava,0,MG,1602448348,73,-20.28,44.28,23.05,3.18
167,longyearbyen,40,SJ,1602448349,73,78.22,15.64,-5.0,1.0
212,turiacu,2,BR,1602448358,73,-1.66,-45.37,26.75,3.22
375,sumenep,19,ID,1602448399,73,-7.02,113.87,27.25,4.4
203,hamilton,40,US,1602448356,73,39.18,-84.53,22.22,4.6
293,gizo,18,SB,1602448376,73,-8.1,156.84,28.44,2.67
346,morro da fumaca,0,BR,1602448388,73,-28.65,-49.21,18.62,4.56
399,antofagasta,20,CL,1602448326,72,-23.65,-70.4,16.0,6.2
6,srandakan,66,ID,1602448031,72,-7.94,110.25,26.11,5.12
208,arica,10,CL,1602448238,72,-18.48,-70.3,19.44,6.2
69,bambanglipuro,52,ID,1602448328,72,-7.95,110.28,26.11,4.36
519,north bend,90,US,1602448224,72,43.41,-124.22,21.11,5.7
76,bredasdorp,28,ZA,1602448329,71,-34.53,20.04,13.0,4.6
372,sitka,90,US,1602448398,71,57.05,-135.33,11.0,4.1
294,nosivka,55,UA,1602448377,71,50.93,31.58,12.51,0.57
252,port elizabeth,8,ZA,1602448094,71,-33.92,25.57,14.0,3.6
133,lazaro cardenas,66,MX,1602448342,71,17.96,-102.2,29.49,2.72
297,kieta,42,PG,1602448377,71,-6.22,155.63,27.77,1.62
276,port hawkesbury,75,CA,1602448373,70,45.62,-61.35,7.0,5.1
365,ouanaminthe,95,HT,1602448395,70,19.55,-71.73,29.27,4.12
470,millerovo,67,RU,1602448146,70,48.92,40.4,12.15,4.65
410,malanje,6,AO,1602448411,70,-9.54,16.34,20.24,2.66
55,kapaa,40,US,1602448325,70,22.08,-159.32,29.0,5.7
327,cabo san lucas,40,MX,1602448287,70,22.89,-109.91,31.67,5.1
234,sur,0,OM,1602448364,69,22.57,59.53,26.05,1.62
295,guane,78,CU,1602448377,69,22.2,-84.09,30.33,1.34
387,cabedelo,20,BR,1602448402,69,-6.98,-34.83,27.0,3.1
48,estrela,0,BR,1602448323,69,-28.06,-50.94,17.94,1.42
17,hualmay,6,PE,1602448316,69,-11.1,-77.61,19.89,4.0
319,villaviciosa,100,ES,1602448382,69,43.48,-5.44,15.0,1.5
398,naze,40,JP,1602448407,69,28.37,129.48,25.0,4.6
341,russell,90,US,1602448387,69,32.35,-85.2,26.0,2.6
277,petropavlovsk-kamchatskiy,0,RU,1602448250,68,53.05,158.65,-3.0,4.0
97,huarmey,9,PE,1602448335,68,-10.07,-78.15,20.5,4.39
124,vila franca do campo,75,PT,1602448340,68,37.72,-25.43,20.0,4.6
220,kananga,0,CD,1602448360,68,-5.9,22.42,23.32,0.83
32,half moon bay,1,US,1602448319,68,37.46,-122.43,23.33,7.7
